audazes,1
obumbrava,1
impetuosos,1
derribando,1
aquoso,1
prosseguia,1
eôo,1
prima,2
deitavam,1
despertavam,1
despertos,1
bocejando,1
miúdo,1
encostavam,1
antenas,1
agudos,1
abertos,1
alas,1
estregando,1
estiravam,1
remédios,1
referem,1
pesado,1
carregado,2
contos,1
poderemos,1
tratar,1
branduras,1
delicadeza,1
robusta,2
dureza,1
entendo,1
consentem,1
encomendam,1
aprova,1
contarei,1
repreendam,1
fabulosa,1
ouvirem,1
aprendam,1
moderava,1
molestava,1
boreal,1
abunda,1
semeava,1
erínis,1
cizânia,1
discórdia,1
soltar,2
provarão,1
alguém,2
raso,1
estacada,1
opróbrios,1
atrevem,1
bastantes,1
levem,1
alencastro,1
militara,1
experimentara,1
socorrerlhe,1
causar,1
discórdias,1
intestinas,1
dizquando,1
iberinas,1
poderiam,1
agravadas,1
servidas,1
mandarei,1
cartas,1
agravo,1
sabedores,1
parto,2
encarecidas,1
esteio,1
lancem,1
consertes,1
novidade,2
cortesãos,3
aventureiro,4
férvida,3
bemaventurado,1
origem,1
armar,1
apercebemse,1
cimeiras,1
concertos,1
partir,1
escolhidos,2
experimentado,1
esforçado,2
consócios,1
instituído,1
adivinha,1
abraçados,2
navarra,1
perineu,1
vistas,2
parar,1
deteve,1
cortam,1
londres,1
servidos,1
amimados,1
chegase,1
armamse,1
elmos,2
grevas,1
fulgente,1
vestemse,1
jóias,1
ledas,2
faleçam,1
teatro,1
corte,6
coubera,1
batro,1
mastigam,1
escumando,1
rutilando,1
desigual,1
dissonante,1
alvoroçarse,1
reboliço,1
onze,5
impele,1
inflama,1
picam,1
esporas,1
largam,1
abaixam,1
estrépito,1
estremece,1
vermelhas,1
penachos,1
açouta,1
ancas,1
intervalo,1
inglesa,3
trono,1
gastar,1
estocadas,1
gastadores,1
basta,1
entendemos,1
finezas,1
vencedoras,2
duque,7
cozinheiros,1
libertadores,1
banquetes,2
notável,1
condessa,1
noviço,1
trance,2
mandes,2
torcato,1
corvino,1
desafio,1
aça,1
deixe,3
apito,1
acordam,1
refrescando,1
gáveas,1
alerta,1
estai,1
nuvem,7
traquetes,2
procela,1
indinados,1
ruído,1
pareceu,3
desacordo,1
romper,1
pendente,1
rijamente,1
alija,2
cessando,1
alagando,1
bomba,3
balanços,1
menear,1
bastaram,1
talhas,1
duma,6
aproveitar,1
derribar,1
altíssimos,2
cresceram,1
grandura,1
sustém,1
quebrado,1
alagada,1
conquanto,1
amainou,1
furibundo,2
desciam,1
íntimas,1
arruinar,1
alumia,1
alcióneas,1
levantaram,1
lembrandose,1
pranto,3
furiosas,1
delfins,1
seguios,1
fabricou,1
ferreiro,1
sórdido,1
obrou,1
enteado,1
arremessou,1
relâmpagos,1
fulminantes,1
dilúvio,1
converteram,2
derribaram,2
batiam,1
denodadas,1
velhas,1
arrancaram,1
indinadas,1
forçosas,1
cuidaram,1
viradas,1
revolvessem,1
perdia,1
senhoreias,2
israel,2
metade,1
livraste,1
defendeste,1
arenosas,2
guardaste,1
alagado,1
vácuo,1
perigosos,1
sirtes,2
arenosos,1
acroceráunios,1
infamados,1
desamparados,1
ditosos,1
africanas,2
sostiveram,1
lutavam,1
indómitos,1
acrescentavam,2
miúda,1
assoviando,1
relâmpados,2
cessavam,1
eixos,1
amorosa,1
cintilava,1
mensageira,2
densa,1
ensífero,1
tocada,1
gastando,1
grinaldas,2
cabelo,2
louros,1
abrandar,1
nojosa,2
mostrandolhe,1
falecem,2
rendidos,1
obedecem,1
ataram,1
escurecem,1
belíssima,1
oritia,1
brandura,2
pões,1
amarte,1
temerte,1
galateia,1
vêla,1
abranda,1
amansavam,1
entregavam,1
amansadas,1
iras,2
furores,1
prometeu,3
homenagem,1
celsa,1
gávea,2
enxergaram,1
